State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
ALABAMA,Alabama A&M University,,"6,681",4,0,1,0,3,71,21,50,0,0
,Auburn University,Montgomery,"6,309",0,0,0,0,0,37,13,22,2,0
,Jacksonville State University,,"11,032",5,0,2,0,3,54,16,36,2,0
,Lurleen B. Wallace Community College,,"2,419",1,0,0,1,0,0,0,0,0,0
,Southern Union State Community College,,"5,815",0,0,0,0,0,2,0,2,0,0
,Troy University,,"18,782",4,0,2,0,2,30,5,24,1,0
,University of Alabama:,Birmingham,"25,963",52,0,6,2,44,332,15,296,21,0
,,Huntsville,"11,142",1,0,1,0,0,40,2,37,1,0
,,Tuscaloosa,"42,327",12,0,3,2,7,189,20,161,8,1
,University of North Alabama,,"10,645",1,0,1,0,0,33,8,22,3,0
,University of South Alabama,,"16,101",12,0,1,2,9,57,2,49,6,1
,University of West Alabama,,"8,789",1,0,1,0,0,14,2,10,2,0
ALASKA,University of Alaska:,Anchorage,"17,368",7,0,3,0,4,60,5,47,8,2
,,Fairbanks,"10,804",5,0,2,0,3,18,0,14,4,0
ARIZONA,Arizona State University,Main Campus,"170,448",46,0,7,11,28,712,21,681,10,2
,Arizona Western College,,"12,342",0,0,0,0,0,3,1,0,2,0
,Maricopa Community College2,,,1,0,0,0,1,74,10,61,3,0
,Northern Arizona University,,"32,063",8,0,5,1,2,126,10,113,3,1
,Pima Community College,,"32,415",1,0,0,0,1,48,5,43,0,0
ARKANSAS,Arkansas State University:,Beebe,"3,724",0,0,0,0,0,0,0,0,0,0
,,Jonesboro,"18,402",6,0,3,1,2,60,8,47,5,0
,,Newport,"4,370",0,0,0,0,0,0,0,0,0,0
,Arkansas Tech University,,"10,943",4,0,2,0,2,67,3,63,1,0
,Henderson State University,,"3,315",0,0,0,0,0,12,3,9,0,0
