Time Period,Median Trip Distance (miles),Median Trip Duration (minutes),Average Trip Distance (miles),Average Trip Duration (minutes),Average Trips per Day,Total Distance (miles),Total MDS Trips
all,1.16,4.9,1.30,6.4,649,1209124,928400,,
2021-Q3,1.19,5.5,1.40,7.6,834,71308,50900,,
2021-Q4,1.13,4.8,1.29,6.3,1027,121521,94500,,
2022-Q1,1.10,4.8,1.23,6.4,356,39270,32000,,
2022-Q2,1.30,5.3,1.49,7.4,588,79427,53500,,
2022-Q3,1.24,5.4,1.41,7.1,663,86290,61000,,
2022-Q4,1.13,4.8,1.25,6.4,867,99369,79800,,
2023-Q1,1.11,4.7,1.20,5.7,642,69559,57800,,
2023-Q2,1.14,4.7,1.28,5.9,782,91374,71200,,
2023-Q3,1.12,4.9,1.27,6.4,627,73054,57700,,
2023-Q4,1.16,4.8,1.26,6.2,662,76437,60900,,
2024-Q1,1.15,4.8,1.25,6.9,353,40241,32100,,
2024-Q2,1.19,4.8,1.35,6.8,455,55758,41400,,
2024-Q3,1.19,5.0,1.34,6.7,665,82216,61200,,
2024-Q4,1.16,4.7,1.26,6.0,785,91238,72200,,
2025-Q1,1.13,4.8,1.24,5.9,446,49766,40100,,
2025-Q2,1.17,4.8,1.33,6.0,682,82298,62100,,
